Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour,Minute
Friday,18-30,Male,Junior high school,Above 10yr,Automobile,Owner,5-10yrs,Other,One way,Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Entering a junction,Driver or rider,Male,Over 51,3,Not a Pedestrian,Driving carelessly,Slight Injury,11,40
Friday,18-30,Male,Elementary school,2-5yr,Automobile,Owner,1-2yr,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Entering a junction,Passenger,Male,31-50,3,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,14,15
Wednesday,Unknown,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,,Dry,Daylight,Normal,Rollover,1,1,Other,Driver or rider,Female,Over 51,3,Not a Pedestrian,Changing lane to the right,Serious Injury,16,30
Saturday,18-30,Male,,,Automobile,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Passenger,Male,Over 51,3,Not a Pedestrian,No priority to vehicle,Slight Injury,21,25
Saturday,Unknown,Male,Junior high school,5-10yr,Automobile,Governmental,Below 1yr,Residential areas,other,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,21,25
Monday,31-50,Male,Junior high school,,Automobile,Owner,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Passenger,Female,Over 51,3,Not a Pedestrian,Driving to the left,Slight Injury,14,0
Monday,31-50,Male,Junior high school,,Taxi,Owner,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Passenger,Male,Over 51,3,Not a Pedestrian,Moving Backward,Slight Injury,14,0
Monday,31-50,Male,Junior high school,1-2yr,,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,9,30
Wednesday,31-50,Male,Above high school,5-10yr,,Owner,Above 10yr,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No distancing,Slight Injury,17,45
Wednesday,18-30,Male,Junior high school,2-5yr,Automobile,Owner,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Under 18,3,Not a Pedestrian,Driving carelessly,Slight Injury,17,45
Thursday,Unknown,Male,Junior high school,5-10yr,Pick up upto 10Q,Owner,2-5yrs,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,19,15
Friday,31-50,Male,High school,2-5yr,,Owner,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Reversing,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,10,45
Friday,31-50,Male,Junior high school,Above 10yr,Automobile,Owner,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,31-50,2,Not a Pedestrian,No priority to vehicle,Slight Injury,21,15
Friday,18-30,Male,Junior high school,Below 1yr,Public (12 seats),Governmental,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Overtaking,Pedestrian,Female,31-50,2,Not a Pedestrian,No distancing,Slight Injury,21,15
Sunday,31-50,Male,Junior high school,Below 1yr,Public (13?45 seats),Owner,1-2yr,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Raining and Windy,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Driving to the left,Slight Injury,21,5
Sunday,Unknown,Female,,,Lorry (11?40Q),Owner,,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Raining and Windy,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,Over 51,3,Not a Pedestrian,Driving carelessly,Slight Injury,21,5
Saturday,Under 18,Male,Junior high school,2-5yr,Stationwagen,Owner,2-5yrs,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Passenger,Female,Over 51,3,Not a Pedestrian,Driving carelessly,Slight Injury,21,30
Saturday,18-30,Male,,,Ridden horse,,,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,21,30
Wednesday,Unknown,Male,Elementary school,No Licence,Stationwagen,Owner,Unknown,Other,,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,16,55
Monday,18-30,Male,Junior high school,Above 10yr,Automobile,Owner,Above 10yr,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,31-50,3,Unknown or other,Changing lane to the left,Slight Injury,12,15
Monday,31-50,Male,Junior high school,Above 10yr,Automobile,Owner,,Office areas,,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,2,Not a Pedestrian,Driving carelessly,Slight Injury,12,15
Wednesday,Over 51,Male,Junior high school,Above 10yr,Other,Owner,Above 10yr,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,17,35
Wednesday,31-50,Male,Junior high school,Above 10yr,Taxi,Owner,,Other,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,17,35
Tuesday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,Above 10yr, Church areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Driving carelessly,Slight Injury,9,55
Tuesday,31-50,Male,Junior high school,Below 1yr,Stationwagen,Governmental,, Industrial areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Under 18,1,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury,9,55
Wednesday,31-50,Male,Junior high school,2-5yr,Automobile,Organization,2-5yrs,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Other,Driver or rider,Male,Under 18,3,Not a Pedestrian,Driving carelessly,Slight Injury,16,20
Wednesday,18-30,Male,Junior high school,,Public (12 seats),Owner,5-10yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving to the left,Slight Injury,16,20
Thursday,Unknown,Female,Above high school,1-2yr,,Owner,1-2yr,Office areas,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Moving Backward,na,na,na,na,Not a Pedestrian,Overtaking,Slight Injury,2,20
Wednesday,18-30,Male,Junior high school,1-2yr,Automobile,Owner,Unknown,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,18,0
Wednesday,Unknown,Unknown,Junior high school,1-2yr,Lorry (41?100Q),Owner,Unknown,  Recreational areas,Undivided Two way,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,18,0
Sunday,18-30,Male,Unknown,5-10yr,,Governmental,Unknown,Other,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,Other,Dry,Daylight,Normal,,1,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,12,0
Thursday,18-30,Male,Junior high school,Above 10yr,Public (> 45 seats),Governmental,5-10yrs, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,19,35
Thursday,Unknown,Male,Junior high school,Above 10yr,,Owner,,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No priority to vehicle,Slight Injury,19,35
Thursday,Unknown,Male,Junior high school,5-10yr,Public (12 seats),Owner,5-10yrs,Office areas,Two-way (divided with broken lines road marking),,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,15,35
Thursday,Unknown,Male,Junior high school,2-5yr,Public (12 seats),Owner,2-5yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Over 51,3,Not a Pedestrian,No distancing,Slight Injury,15,35
Friday,Over 51,Male,Junior high school,Below 1yr,Automobile,Governmental,2-5yrs,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,1,1,Going straight,Pedestrian,Male,Under 18,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,Slight Injury,14,50
Saturday,31-50,Male,Junior high school,1-2yr,,Owner,,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Windy,Collision with roadside objects,1,1,Going straight,Pedestrian,Female,Under 18,3,Unknown or other,No distancing,Slight Injury,10,50
Saturday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,,Other,One way,Escarpments,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,,1,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,18,55
Saturday,18-30,Male,Junior high school,Below 1yr,Lorry (41?100Q),Owner,,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Other,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,18-30,2,Not a Pedestrian,Changing lane to the left,Slight Injury,16,50
Saturday,31-50,Male,Elementary school,5-10yr,Public (12 seats),Owner,,  Recreational areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,,2,1,Reversing,Pedestrian,Male,Under 18,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to pedestrian,Slight Injury,16,50
Saturday,31-50,Male,Junior high school,2-5yr,Lorry (11?40Q),Owner,, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,,1,1,Other,Driver or rider,Female,Under 18,3,Not a Pedestrian,Moving Backward,Slight Injury,9,55
Friday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,,2,1,Other,Driver or rider,Female,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,9,10
Friday,31-50,Male,Elementary school,5-10yr,Automobile,Owner,,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Reversing,Pedestrian,Male,Over 51,3,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury,9,10
Monday,Over 51,Male,Junior high school,Above 10yr,Automobile,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Female,31-50,3,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,No priority to vehicle,Slight Injury,18,10
Monday,18-30,Male,Junior high school,1-2yr,Bajaj,Governmental,,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,18,10
Monday,18-30,Male,High school,Below 1yr,Public (12 seats),Owner,Above 10yr,School areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,18,10
Monday,31-50,Male,Elementary school,Above 10yr,Lorry (11?40Q),Owner,Above 10yr, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Male,Over 51,2,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury,12,55
Tuesday,18-30,Male,High school,1-2yr,,Owner,Above 10yr,Other,other,Tangent road with flat terrain,Y Shape,,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Turnover,Passenger,Female,31-50,3,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,18,0
Tuesday,18-30,Male,Junior high school,2-5yr,,Owner,Below 1yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Other,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,31-50,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,18,0
Tuesday,31-50,Male,,5-10yr,Automobile,Owner,2-5yrs,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,11,30
Wednesday,31-50,Male,High school,2-5yr,Lorry (11?40Q),Owner,2-5yrs,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Male,Over 51,3,Not a Pedestrian,No distancing,Slight Injury,10,30
Thursday,31-50,Male,High school,Above 10yr,Lorry (41?100Q),Owner,2-5yrs,Other,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Driving carelessly,Slight Injury,18,40
Thursday,31-50,Male,Junior high school,1-2yr,Pick up upto 10Q,Owner,Below 1yr, Hospital areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,18,40
Sunday,18-30,Male,Elementary school,1-2yr,Lorry (11?40Q),Owner,2-5yrs,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads with some distress,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Moving Backward,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,18,35
Friday,Over 51,Male,High school,1-2yr,Stationwagen,Owner,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Female,Over 51,3,Not a Pedestrian,Overtaking,Slight Injury,9,15
